Biała Podlaska,Białystok,Bielsko - Biała,Bydgoszcz,Chełm,Ciechanów,Cieszyn,Częstochowa,Elbląg,Gdańsk,Gorzów Wielkopolski,Jelenia Góra,Kalisz,Katowice,Kielce,Konin,Koszalin,Kraków,Krosno,Legnica,Leszno,Lublin,Łomża,Łódź,Nowy Sącz,Olsztyn,Opole,Ostrołęka,Piła,Piotrków Trybunalski,Płock,Poznań,Przemyśl,Radom,Rzeszów,Siedlce,Sieradz,Skierniewice,Słupsk,Suwałki,Szczecin,Tarnobrzeg,Tarnów,Toruń,Wałbrzych,Warszawa,Włocławek,Wrocław,Zakopane,Zamość,Zielona Góra
Tarnów,377.134,502.641,156.622,485.77,274.686,399.317,234.829,223.963,584.546,593.258,626.41,447.373,394.776,161.917,116.456,395.251,870.582,83.487,79.875,413.499,458.38,255.72,454.812,271.714,61.077,514.582,271.031,429.163,632.717,222.771,378.386,544.697,166.998,209.478,86.379,357.465,333.168,311.473,674.804,601.188,728.176,89.879,0,506.554,418.16,304.868,454.246,353.264,178.509,226.44,523.097
Toruń,423.146,449.996,414.926,45.706,493.53,160.953,437.849,285.629,220.945,169.688,315.163,507.937,167.356,357.558,310.096,111.495,234.771,424.89,495.555,405.554,216.529,421.467,402.167,182.559,533.138,169.321,381.24,236.758,142.982,210.24,125.321,161.614,545.0,318.128,464.831,353.654,244.222,198.585,251.235,382.713,311.908,409.261,506.554,0,479.63,261.369,64.56,398.969,527.211,507.832,310.846
Wałbrzych,599.728,626.577,315.12,370.682,612.334,476.22,302.241,313.637,686.905,635.649,278.101,56.842,204.531,256.054,425.409,259.702,522.273,336.497,518.746,71.271,182.253,540.272,578.748,302.908,444.745,593.605,161.711,553.099,356.59,312.926,419.254,268.57,582.27,424.534,501.651,530.235,238.259,375.166,589.43,725.124,379.867,526.907,418.16,479.63,0,435.079,426.251,84.289,434.022,641.617,173.849
Warszawa,161.272,201.251,346.879,309.901,249.884,97.832,369.802,217.582,283.062,338.716,463.923,464.457,261.498,289.511,179.279,219.002,515.448,291.38,346.137,430.584,344.99,177.822,153.422,139.079,365.608,213.098,337.759,127.773,396.511,135.973,108.948,310.374,395.582,104.15,315.413,91.779,200.742,77.451,498.935,299.798,565.689,256.164,304.868,261.369,435.079,0,205.562,353.79,404.986,267.615,452.712
Włocławek,370.839,397.688,362.618,113.091,441.222,123.575,385.541,233.322,271.835,220.579,350.3,455.629,132.332,305.25,257.788,87.63,318.639,372.582,443.247,421.756,231.367,369.16,349.859,130.251,480.831,218.01,328.932,199.38,199.702,157.932,57.839,196.751,492.693,265.82,412.523,301.346,191.914,146.277,302.126,374.092,452.066,356.953,454.246,64.56,426.251,205.562,0,343.733,471.975,452.596,339.811
Wrocław,519.066,545.916,250.223,288.072,531.673,395.559,237.344,207.825,606.244,554.988,292.705,113.667,123.87,191.157,333.697,179.04,414.912,271.6,453.849,79.794,99.643,459.611,498.087,222.247,379.849,512.943,96.815,472.438,273.98,232.265,338.593,185.96,517.373,343.873,436.754,449.574,157.597,294.505,448.628,644.463,394.471,462.01,353.264,398.969,84.289,353.79,343.733,0,368.903,576.498,187.38
Zakopane,493.833,603.318,121.362,575.742,450.307,499.993,162.277,239.99,734.486,683.23,642.437,463.4,410.803,177.944,230.369,485.223,886.609,109.527,189.7,429.526,474.407,431.34,555.489,365.935,98.566,615.258,287.058,529.84,648.744,320.121,466.835,560.724,342.619,310.155,262.0,482.54,349.195,407.728,764.777,701.865,744.203,287.255,178.509,527.211,434.022,404.986,471.975,368.903,0,401.529,539.414
Zamość,181.084,332.047,380.244,556.363,62.297,361.451,458.451,447.585,548.024,603.678,710.385,670.995,462.005,385.539,217.249,465.464,761.91,307.109,218.586,637.121,682.002,87.027,369.806,346.834,291.025,478.06,494.653,357.523,642.973,314.054,373.91,556.836,138.707,204.994,151.033,205.543,408.752,305.296,745.397,465.758,812.151,137.454,226.44,507.832,641.617,267.615,452.596,576.498,401.529,0,706.257
Zielona Góra,617.989,644.838,420.056,288.157,688.372,450.725,407.177,418.573,532.371,481.114,111.632,178.747,287.616,360.99,505.077,248.041,355.803,441.433,623.682,107.939,108.938,616.31,597.009,349.929,549.682,484.649,266.648,571.36,204.805,405.22,370.81,153.108,687.206,512.97,606.587,548.496,343.195,393.427,422.96,743.385,213.398,631.843,523.097,310.846,173.849,452.712,339.811,187.38,539.414,706.257,0

